"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-10-28",219374,1025,23883,9034,2510,45045,468287,117073522,797077,2744,2347,0,8802099,78661,3518140,56,139513001,1055866
"2020-10-27",218349,931,23701,8909,2248,44212,465777,116276445,818919,2719,2287,0,8723438,73096,3487666,56,138457135,1052874
"2020-10-26",217418,389,23542,8842,1838,42917,463529,115457526,981108,2703,2301,0,8650342,62274,3460455,56,137404261,1177574
"2020-10-25",217029,377,23420,8489,1153,41776,461691,114476418,901330,2693,2176,0,8588068,65650,3422934,56,136226687,1158665
"2020-10-24",216652,890,23356,8561,1756,41905,460538,113575088,962036,2691,2230,0,8522418,82925,3406701,56,135068022,1270790
"2020-10-23",215762,917,23221,8237,15005,41482,458782,112613052,1043191,2679,2180,0,8439493,83057,3375480,56,133797232,1335695
"2020-10-22",214845,1143,23018,8086,2571,41010,443777,111569861,913969,2641,2147,0,8356436,73007,3353056,56,132461537,1172304
"2020-10-21",213702,1024,22855,8182,2239,40271,441206,110655892,691316,2622,2090,0,8283429,60712,3323354,56,131289233,912743
"2020-10-20",212678,832,22662,8131,2150,39230,438967,109964576,757254,2593,2045,0,8222717,60558,3295426,56,130376490,939024
"2020-10-19",211846,456,22475,7997,1684,37826,436817,109207322,1025339,2577,1800,0,8162159,57132,3272603,56,129437466,1222341
"2020-10-18",211390,393,22391,7292,853,36437,435133,108181983,770454,2557,1762,0,8105027,48857,3234183,56,128215125,1017256
"2020-10-17",210997,780,22320,7384,1535,37359,434280,107411529,954766,2553,1791,0,8056170,57867,3220607,56,127197869,1241938
"2020-10-16",210217,877,22202,7251,1858,37336,432745,106456763,979899,2547,1739,0,7998303,68040,3197539,56,125955931,1190643
"2020-10-15",209340,951,22051,7220,2007,37308,430887,105476864,848075,2531,1769,0,7930263,63102,3177397,56,124765288,1054445
"2020-10-14",208389,811,21889,7156,2537,37048,428880,104628789,624821,2516,1776,0,7867161,56722,3155826,56,123710843,1011853
"2020-10-13",207578,690,21735,7020,2048,36051,426343,104003968,854225,2485,1755,0,7810439,48319,3124593,56,122698990,1013682
"2020-10-12",206888,287,21625,6807,1189,35072,424295,103149743,889434,2464,1666,0,7762120,43110,3106769,56,121685308,1037013
"2020-10-11",206601,466,21553,6679,1015,34490,423106,102260309,803858,2454,1646,0,7719010,46790,3075110,56,120648295,1045443
"2020-10-10",206135,665,21512,6683,1504,34618,422091,101456451,959373,2451,1667,0,7672220,57492,3063007,56,119602852,1208425
"2020-10-09",205470,893,21389,6713,1802,34839,420587,100497078,950718,2437,1655,0,7614728,57005,3039089,56,118394427,1168125
"2020-10-08",204577,986,21217,6621,2074,34322,418785,99546360,880813,2427,1638,0,7557723,55292,3021252,56,117226302,1117455
"2020-10-07",203591,916,21112,6507,2250,33457,416711,98665547,732692,2410,1646,0,7502431,50564,2999895,56,116108847,935581
"2020-10-06",202675,634,20973,6438,-624,32595,414461,97932855,722475,2388,1609,0,7451867,38611,2952390,56,115173266,881919
"2020-10-05",202041,326,20812,6209,1519,31299,415085,97210380,846256,2370,1515,0,7413256,38124,2935196,56,114291347,966865
"2020-10-04",201715,363,20729,5974,649,29942,413566,96364124,824848,2362,1485,0,7375132,38357,2911789,56,113324482,1002834
"2020-10-03",201352,741,20686,5996,1166,30113,412917,95539276,846390,2358,1501,0,7336775,51338,2897350,56,112321648,1067109
"2020-10-02",200611,835,20612,6106,1342,30744,411751,94692886,977186,2348,1533,0,7285437,49484,2873369,56,111254539,1208773
"2020-10-01",199776,851,20492,6173,1760,30790,410409,93715700,759865,2334,1547,0,7235953,45617,2860650,56,110045766,967447
"2020-09-30",198925,1061,20390,6145,1590,30911,408649,92955835,674267,2319,1507,0,7190336,44356,2840747,56,109078319,876454
"2020-09-29",197864,739,20247,6106,1733,30473,407059,92281568,707529,2298,1495,0,7145980,36890,2813305,56,108201865,893977
"2020-09-28",197125,257,20121,5981,1241,29608,405326,91574039,919021,2285,1518,0,7109090,36514,2794608,56,107307888,1139086
"2020-09-27",196868,307,20050,6080,760,29434,404085,90655018,669524,2277,1511,0,7072576,35419,2766304,56,106168802,876550
